Model Strategy,Order Property Criterion,Generation 1,Generation 2,Generation 3,Generation 4,Runtime (s)
Theorem 2.1(e) (Fully_Isol),Total Count,3,5,8,13,1.7845
Theorem 2.1(e) (Fully_Isol),Trivial,0,0,0,0,
Theorem 2.1(e) (Fully_Isol),Connected,0,0,0,0,
Theorem 2.1(e) (Fully_Isol),Disconnected,3,5,8,13,
Theorem 2.1(e) (Fully_Isol),Non Self Dual,2,2,6,8,
Theorem 2.1(e) (Fully_Isol),Self Dual,1,3,2,5,
Theorem 2.1(e) (Fully_Isol),Semi Right,0,0,0,0,
Theorem 2.1(e) (Fully_Isol),Semi Left,0,0,0,0,
Theorem 2.1(e) (Fully_Isol),Double Dual,0,0,0,0,
Theorem 2.1(d) (Succ_Dominant),Total Count,4,10,28,80,0.1804
Theorem 2.1(d) (Succ_Dominant),Trivial,0,0,0,0,
Theorem 2.1(d) (Succ_Dominant),Connected,2,6,18,54,
Theorem 2.1(d) (Succ_Dominant),Disconnected,2,4,10,26,
Theorem 2.1(d) (Succ_Dominant),Non Self Dual,2,6,24,71,
Theorem 2.1(d) (Succ_Dominant),Self Dual,2,4,4,9,
Theorem 2.1(d) (Succ_Dominant),Semi Right,0,0,1,3,
Theorem 2.1(d) (Succ_Dominant),Semi Left,0,1,3,11,
Theorem 2.1(d) (Succ_Dominant),Double Dual,0,0,0,0,
Theorem 2.1(c) (Pred_Dominant),Total Count,4,10,28,80,0.2007
Theorem 2.1(c) (Pred_Dominant),Trivial,0,0,0,0,
Theorem 2.1(c) (Pred_Dominant),Connected,2,6,18,54,
Theorem 2.1(c) (Pred_Dominant),Disconnected,2,4,10,26,
Theorem 2.1(c) (Pred_Dominant),Non Self Dual,2,6,24,71,
Theorem 2.1(c) (Pred_Dominant),Self Dual,2,4,4,9,
Theorem 2.1(c) (Pred_Dominant),Semi Right,0,1,3,11,
Theorem 2.1(c) (Pred_Dominant),Semi Left,0,0,1,3,
Theorem 2.1(c) (Pred_Dominant),Double Dual,0,0,0,0,
Theorem 2.1(b) (Isolated),Total Count,3,6,16,40,0.1273
Theorem 2.1(b) (Isolated),Trivial,0,0,0,0,
Theorem 2.1(b) (Isolated),Connected,0,0,0,0,
Theorem 2.1(b) (Isolated),Disconnected,3,6,16,40,
Theorem 2.1(b) (Isolated),Non Self Dual,2,2,14,32,
Theorem 2.1(b) (Isolated),Self Dual,1,4,2,8,
Theorem 2.1(b) (Isolated),Semi Right,0,0,0,0,
Theorem 2.1(b) (Isolated),Semi Left,0,0,0,0,
Theorem 2.1(b) (Isolated),Double Dual,0,0,0,0,
Theorem 2.1(a) (Total),Total Count,3,5,8,13,0.1432
Theorem 2.1(a) (Total),Trivial,0,0,0,0,
Theorem 2.1(a) (Total),Connected,3,5,8,13,
Theorem 2.1(a) (Total),Disconnected,0,0,0,0,
Theorem 2.1(a) (Total),Non Self Dual,2,2,6,8,
Theorem 2.1(a) (Total),Self Dual,1,3,2,5,
Theorem 2.1(a) (Total),Semi Right,0,0,0,0,
Theorem 2.1(a) (Total),Semi Left,0,0,0,0,
Theorem 2.1(a) (Total),Double Dual,0,0,0,0,
Theorem 2.2    (General),Total Count,6,22,90,394,0.4127
Theorem 2.2    (General),Trivial,0,0,0,0,
Theorem 2.2    (General),Connected,3,11,45,197,
Theorem 2.2    (General),Disconnected,3,11,45,197,
Theorem 2.2    (General),Non Self Dual,4,16,84,372,
Theorem 2.2    (General),Self Dual,2,6,6,22,
Theorem 2.2    (General),Semi Right,0,2,10,52,
Theorem 2.2    (General),Semi Left,0,2,10,52,
Theorem 2.2    (General),Double Dual,0,0,2,8,
Theorem 2.6    (Minimal),Total Count,6,22,90,394,0.4462
Theorem 2.6    (Minimal),Trivial,0,0,0,0,
Theorem 2.6    (Minimal),Connected,3,11,45,197,
Theorem 2.6    (Minimal),Disconnected,3,11,45,197,
Theorem 2.6    (Minimal),Non Self Dual,4,15,84,372,
Theorem 2.6    (Minimal),Self Dual,2,7,6,22,
Theorem 2.6    (Minimal),Semi Right,0,2,10,52,
Theorem 2.6    (Minimal),Semi Left,0,0,0,0,
Theorem 2.6    (Minimal),Double Dual,0,0,0,0,
Theorem 2.7    (Maximal),Total Count,6,22,90,394,0.3906
Theorem 2.7    (Maximal),Trivial,0,0,0,0,
Theorem 2.7    (Maximal),Connected,3,11,45,197,
Theorem 2.7    (Maximal),Disconnected,3,11,45,197,
Theorem 2.7    (Maximal),Non Self Dual,4,15,84,372,
Theorem 2.7    (Maximal),Self Dual,2,7,6,22,
Theorem 2.7    (Maximal),Semi Right,0,0,0,0,
Theorem 2.7    (Maximal),Semi Left,0,2,10,52,
Theorem 2.7    (Maximal),Double Dual,0,0,0,0,
Theorem 2.8    (Boundary),Total Count,5,15,52,201,0.3174
Theorem 2.8    (Boundary),Trivial,0,0,0,0,
Theorem 2.8    (Boundary),Connected,2,6,22,90,
Theorem 2.8    (Boundary),Disconnected,3,9,30,111,
Theorem 2.8    (Boundary),Non Self Dual,4,10,50,186,
Theorem 2.8    (Boundary),Self Dual,1,5,2,15,
Theorem 2.8    (Boundary),Semi Right,0,0,0,0,
Theorem 2.8    (Boundary),Semi Left,0,0,0,0,
Theorem 2.8    (Boundary),Double Dual,0,0,0,0,
